Erstellt als neuer Datensatz;
nm;A
800,0;0,0042
799,0;0,0042
798,0;0,0043
797,0;0,0043
796,0;0,0043
795,0;0,0043
794,0;0,0043
793,0;0,0043
792,0;0,0044
791,0;0,0044
790,0;0,0045
789,0;0,0045
788,0;0,0046
787,0;0,0046
786,0;0,0046
785,0;0,0046
784,0;0,0046
783,0;0,0047
782,0;0,0047
781,0;0,0047
780,0;0,0048
779,0;0,0048
778,0;0,0049
777,0;0,0049
776,0;0,0050
775,0;0,0050
774,0;0,0051
773,0;0,0051
772,0;0,0052
771,0;0,0052
770,0;0,0053
769,0;0,0053
768,0;0,0054
767,0;0,0055
766,0;0,0055
765,0;0,0056
764,0;0,0057
763,0;0,0057
762,0;0,0058
761,0;0,0059
760,0;0,0060
759,0;0,0061
758,0;0,0062
757,0;0,0063
756,0;0,0064
755,0;0,0065
754,0;0,0066
753,0;0,0067
752,0;0,0068
751,0;0,0069
750,0;0,0071
749,0;0,0072
748,0;0,0074
747,0;0,0075
746,0;0,0076
745,0;0,0078
744,0;0,0080
743,0;0,0082
742,0;0,0084
741,0;0,0087
740,0;0,0089
739,0;0,0091
738,0;0,0094
737,0;0,0097
736,0;0,0100
735,0;0,0104
734,0;0,0107
733,0;0,0111
732,0;0,0115
731,0;0,0120
730,0;0,0125
729,0;0,0130
728,0;0,0135
727,0;0,0141
726,0;0,0147
725,0;0,0153
724,0;0,0160
723,0;0,0167
722,0;0,0175
721,0;0,0183
720,0;0,0193
719,0;0,0202
718,0;0,0213
717,0;0,0225
716,0;0,0238
715,0;0,0252
714,0;0,0268
713,0;0,0287
712,0;0,0307
711,0;0,0330
710,0;0,0355
709,0;0,0382
708,0;0,0414
707,0;0,0449
706,0;0,0488
705,0;0,0532
704,0;0,0582
703,0;0,0640
702,0;0,0704
701,0;0,0777
700,0;0,0859
699,0;0,0951
698,0;0,1058
697,0;0,1178
696,0;0,1311
695,0;0,1458
694,0;0,1619
693,0;0,1798
692,0;0,1993
691,0;0,2205
690,0;0,2436
689,0;0,2685
688,0;0,2956
687,0;0,3244
686,0;0,3553
685,0;0,3884
684,0;0,4231
683,0;0,4603
682,0;0,4994
681,0;0,5405
680,0;0,5836
679,0;0,6276
678,0;0,6718
677,0;0,7159
676,0;0,7598
675,0;0,8029
674,0;0,8438
673,0;0,8812
672,0;0,9155
671,0;0,9461
670,0;0,9730
669,0;0,9949
668,0;1,0119
667,0;1,0246
666,0;1,0331
665,0;1,0377
664,0;1,0377
663,0;1,0343
662,0;1,0284
661,0;1,0203
660,0;1,0104
659,0;0,9993
658,0;0,9870
657,0;0,9738
656,0;0,9597
655,0;0,9448
654,0;0,9296
653,0;0,9138
652,0;0,8971
651,0;0,8802
650,0;0,8629
649,0;0,8453
648,0;0,8270
647,0;0,8086
646,0;0,7900
645,0;0,7714
644,0;0,7530
643,0;0,7346
642,0;0,7169
641,0;0,6999
640,0;0,6841
639,0;0,6692
638,0;0,6551
637,0;0,6419
636,0;0,6295
635,0;0,6181
634,0;0,6075
633,0;0,5978
632,0;0,5893
631,0;0,5819
630,0;0,5757
629,0;0,5705
628,0;0,5663
627,0;0,5632
626,0;0,5609
625,0;0,5593
624,0;0,5583
623,0;0,5578
622,0;0,5578
621,0;0,5580
620,0;0,5583
619,0;0,5587
618,0;0,5590
617,0;0,5591
616,0;0,5588
615,0;0,5580
614,0;0,5566
613,0;0,5545
612,0;0,5517
611,0;0,5478
610,0;0,5430
609,0;0,5373
608,0;0,5305
607,0;0,5228
606,0;0,5138
605,0;0,5039
604,0;0,4931
603,0;0,4816
602,0;0,4693
601,0;0,4564
600,0;0,4430
599,0;0,4292
598,0;0,4153
597,0;0,4016
596,0;0,3882
595,0;0,3753
594,0;0,3627
593,0;0,3506
592,0;0,3388
591,0;0,3273
590,0;0,3163
589,0;0,3056
588,0;0,2953
587,0;0,2855
586,0;0,2760
585,0;0,2668
584,0;0,2579
583,0;0,2493
582,0;0,2411
581,0;0,2331
580,0;0,2257
579,0;0,2185
578,0;0,2116
577,0;0,2051
576,0;0,1988
575,0;0,1928
574,0;0,1871
573,0;0,1816
572,0;0,1763
571,0;0,1712
570,0;0,1664
569,0;0,1617
568,0;0,1571
567,0;0,1527
566,0;0,1484
565,0;0,1442
564,0;0,1401
563,0;0,1361
562,0;0,1323
561,0;0,1286
560,0;0,1250
559,0;0,1215
558,0;0,1180
557,0;0,1146
556,0;0,1112
555,0;0,1079
554,0;0,1047
553,0;0,1015
552,0;0,0984
551,0;0,0953
550,0;0,0923
549,0;0,0894
548,0;0,0866
547,0;0,0838
546,0;0,0811
545,0;0,0786
544,0;0,0762
543,0;0,0738
542,0;0,0716
541,0;0,0694
540,0;0,0674
539,0;0,0654
538,0;0,0636
537,0;0,0618
536,0;0,0600
535,0;0,0585
534,0;0,0570
533,0;0,0556
532,0;0,0543
531,0;0,0530
530,0;0,0519
529,0;0,0508
528,0;0,0499
527,0;0,0490
526,0;0,0482
525,0;0,0475
524,0;0,0468
523,0;0,0463
522,0;0,0458
521,0;0,0453
520,0;0,0449
519,0;0,0446
518,0;0,0443
517,0;0,0440
516,0;0,0438
515,0;0,0435
514,0;0,0433
513,0;0,0432
512,0;0,0432
511,0;0,0431
510,0;0,0431
509,0;0,0431
508,0;0,0430
507,0;0,0430
506,0;0,0429
505,0;0,0429
504,0;0,0429
503,0;0,0428
502,0;0,0427
501,0;0,0426
500,0;0,0425
499,0;0,0423
498,0;0,0420
497,0;0,0417
496,0;0,0414
495,0;0,0412
494,0;0,0408
493,0;0,0403
492,0;0,0399
491,0;0,0395
490,0;0,0391
489,0;0,0386
488,0;0,0381
487,0;0,0376
486,0;0,0370
485,0;0,0364
484,0;0,0359
483,0;0,0353
482,0;0,0346
481,0;0,0340
480,0;0,0335
479,0;0,0329
478,0;0,0323
477,0;0,0317
476,0;0,0312
475,0;0,0306
474,0;0,0300
473,0;0,0294
472,0;0,0288
471,0;0,0283
470,0;0,0277
469,0;0,0272
468,0;0,0266
467,0;0,0261
466,0;0,0256
465,0;0,0251
464,0;0,0244
463,0;0,0239
462,0;0,0234
461,0;0,0228
460,0;0,0224
459,0;0,0218
458,0;0,0213
457,0;0,0208
456,0;0,0202
455,0;0,0197
454,0;0,0193
453,0;0,0188
452,0;0,0183
451,0;0,0178
450,0;0,0173
449,0;0,0168
448,0;0,0163
447,0;0,0159
446,0;0,0155
445,0;0,0150
444,0;0,0146
443,0;0,0142
442,0;0,0137
441,0;0,0133
440,0;0,0130
439,0;0,0125
438,0;0,0121
437,0;0,0117
436,0;0,0114
435,0;0,0112
434,0;0,0107
433,0;0,0104
432,0;0,0101
431,0;0,0098
430,0;0,0096
429,0;0,0094
428,0;0,0090
427,0;0,0088
426,0;0,0086
425,0;0,0083
424,0;0,0081
423,0;0,0080
422,0;0,0079
421,0;0,0079
420,0;0,0077
419,0;0,0076
418,0;0,0076
417,0;0,0076
416,0;0,0077
415,0;0,0077
414,0;0,0079
413,0;0,0080
412,0;0,0083
411,0;0,0086
410,0;0,0090
409,0;0,0095
408,0;0,0100
407,0;0,0107
406,0;0,0113
405,0;0,0119
404,0;0,0125
403,0;0,0133
402,0;0,0141
401,0;0,0147
400,0;0,0151
399,0;0,0157
398,0;0,0161
397,0;0,0162
396,0;0,0166
395,0;0,0167
394,0;0,0166
393,0;0,0167
392,0;0,0164
391,0;0,0163
390,0;0,0162
389,0;0,0160
388,0;0,0159
387,0;0,0158
386,0;0,0153
385,0;0,0150
384,0;0,0148
383,0;0,0141
382,0;0,0144
381,0;0,0143
380,0;0,0141
379,0;0,0139
378,0;0,0138
377,0;0,0139
376,0;0,0137
375,0;0,0135
374,0;0,0133
373,0;0,0132
372,0;0,0131
371,0;0,0131
370,0;0,0129
369,0;0,0125
368,0;0,0123
367,0;0,0124
366,0;0,0124
365,0;0,0124
364,0;0,0125
363,0;0,0126
362,0;0,0127
361,0;0,0134
360,0;0,0139
359,0;0,0143
358,0;0,0149
357,0;0,0155
356,0;0,0160
355,0;0,0167
354,0;0,0175
353,0;0,0183
352,0;0,0194
351,0;0,0202
350,0;0,0211
349,0;0,0222
348,0;0,0234
347,0;0,0247
346,0;0,0265
345,0;0,0282
344,0;0,0300
343,0;0,0322
342,0;0,0346
341,0;0,0376
340,0;0,0410
339,0;0,0450
338,0;0,0495
337,0;0,0543
336,0;0,0597
335,0;0,0652
334,0;0,0708
333,0;0,0763
332,0;0,0818
331,0;0,0869
330,0;0,0913
329,0;0,0950
328,0;0,0979
327,0;0,1003
326,0;0,1022
325,0;0,1034
324,0;0,1045
323,0;0,1054
322,0;0,1062
321,0;0,1074
320,0;0,1089
319,0;0,1105
318,0;0,1124
317,0;0,1145
316,0;0,1169
315,0;0,1198
314,0;0,1231
313,0;0,1272
312,0;0,1323
311,0;0,1387
310,0;0,1476
309,0;0,1586
308,0;0,1719
307,0;0,1881
306,0;0,2069
305,0;0,2289
304,0;0,2529
303,0;0,2790
302,0;0,3070
301,0;0,3363
300,0;0,3666
299,0;0,3966
298,0;0,4259
297,0;0,4535
296,0;0,4780
295,0;0,4976
294,0;0,5119
293,0;0,5209
292,0;0,5241
291,0;0,5209
290,0;0,5107
289,0;0,4951
288,0;0,4761
287,0;0,4549
286,0;0,4329
285,0;0,4111
284,0;0,3904
283,0;0,3702
282,0;0,3506
281,0;0,3316
280,0;0,3133
279,0;0,2966
278,0;0,2811
277,0;0,2659
276,0;0,2507
275,0;0,2363
274,0;0,2255
273,0;0,2170
272,0;0,2101
271,0;0,2049
270,0;0,2041
269,0;0,2033
268,0;0,2114
267,0;0,2249
266,0;0,2347
265,0;0,2391
264,0;0,3128
263,0;0,3758
262,0;0,5861
261,0;1,2316
260,0;1,2049
259,0;0,9493
258,0;0,4840
257,0;-0,0441
256,0;-0,0523
255,0;-0,0787
254,0;-0,0791
253,0;-0,0622
252,0;-0,0560
251,0;-0,0585
250,0;-0,0614
249,0;-0,0496
248,0;-0,0514
247,0;-0,0576
246,0;-0,0610
245,0;-0,0652
244,0;-0,0876
243,0;-0,0607
242,0;-0,0566
241,0;-0,0601
240,0;-0,0573
239,0;-0,0375
238,0;-0,0546
237,0;-0,0476
236,0;-0,0437
235,0;-0,0420
234,0;-0,0286
233,0;-0,0345
232,0;-0,0441
231,0;-0,0458
230,0;-0,0488
229,0;-0,0613
228,0;-0,0238
227,0;-0,0533
226,0;-0,0653
225,0;-0,0493
224,0;-0,0257
223,0;-0,0510
222,0;-0,0528
221,0;-0,0483
220,0;-0,0377
219,0;-0,0268
218,0;-0,0439
217,0;-0,0309
216,0;-0,0339
215,0;-0,0489
214,0;-0,0603
213,0;-0,0381
212,0;-0,0520
211,0;-0,0403
210,0;-0,0234
209,0;-0,0214
208,0;-0,0489
207,0;-0,0432
206,0;-0,0465
205,0;-0,0410
204,0;-0,0304
203,0;-0,0356
202,0;-0,0434
201,0;-0,0406
200,0;-0,0433
